Instruction at 0x401b93 in routine: test_floating_point_operations | cvtss2sd xmm7, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401b98 in routine: test_floating_point_operations | movq rax, xmm7 | Category: DATAXFER
Instruction at 0x401b9d in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401ba1 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401ba6 in routine: test_floating_point_operations | mov edi, 0x403640 | Category: DATAXFER
Instruction at 0x401bab in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401bb0 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401bb5 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401bb9 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401bbe in routine: test_floating_point_operations | call 0x401210 | Category: CALL
Instruction at 0x401bc3 in routine: test_floating_point_operations | movq rdx, xmm0 | Category: DATAXFER
Instruction at 0x401bc8 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401bcc in routine: test_floating_point_operations | movq xmm1, rdx | Category: DATAXFER
Instruction at 0x401bd1 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401bd6 in routine: test_floating_point_operations | mov edi, 0x403660 | Category: DATAXFER
Instruction at 0x401bdb in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401be0 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401be5 in routine: test_floating_point_operations | mov eax, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401be8 in routine: test_floating_point_operations | movd xmm0, eax | Category: DATAXFER
Instruction at 0x401bec in routine: test_floating_point_operations | call 0x401050 | Category: CALL
Instruction at 0x401bf1 in routine: test_floating_point_operations | cvtss2sd xmm0, xmm0 | Category: CONVERT
Instruction at 0x401bf5 in routine: test_floating_point_operations | pxor xmm3, xmm3 | Category: LOGICAL
Instruction at 0x401bf9 in routine: test_floating_point_operations | cvtss2sd xmm3, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401bfe in routine: test_floating_point_operations | movq rax, xmm3 | Category: DATAXFER
Instruction at 0x401c03 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401c07 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401c0c in routine: test_floating_point_operations | mov edi, 0x403682 | Category: DATAXFER
Instruction at 0x401c11 in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401c16 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401c1b in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401c1f in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401c24 in routine: test_floating_point_operations | call 0x401230 | Category: CALL
Instruction at 0x401c29 in routine: test_floating_point_operations | movq rdx, xmm0 | Category: DATAXFER
Instruction at 0x401c2e in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401c32 in routine: test_floating_point_operations | movq xmm1, rdx | Category: DATAXFER
Instruction at 0x401c37 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401c3c in routine: test_floating_point_operations | mov edi, 0x4036a0 | Category: DATAXFER
Instruction at 0x401c41 in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401c46 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401c4b in routine: test_floating_point_operations | mov eax, 0x0 | Category: DATAXFER
Instruction at 0x401c50 in routine: test_floating_point_operations | call 0x401326 | Category: CALL
Instruction at 0x401326 in routine: FaultInjectionBegin | push rbp | Category: PUSH
Instruction at 0x401327 in routine: FaultInjectionBegin | mov rbp, rsp | Category: DATAXFER
Instruction at 0x40132a in routine: FaultInjectionBegin | mov rax, qword ptr [rip+0x3dff] | Category: DATAXFER
Instruction at 0x401331 in routine: FaultInjectionBegin | test rax, rax | Category: LOGICAL
Instruction at 0x401334 in routine: FaultInjectionBegin | jz 0x401354 | Category: COND_BR
Instruction at 0x401336 in routine: FaultInjectionBegin | mov rax, qword ptr [rip+0x3df3] | Category: DATAXFER
Instruction at 0x40133d in routine: FaultInjectionBegin | mov rcx, rax | Category: DATAXFER
Instruction at 0x401340 in routine: FaultInjectionBegin | mov edx, 0x20 | Category: DATAXFER
Instruction at 0x401345 in routine: FaultInjectionBegin | mov esi, 0x1 | Category: DATAXFER
Instruction at 0x40134a in routine: FaultInjectionBegin | mov edi, 0x403010 | Category: DATAXFER
Instruction at 0x40134f in routine: FaultInjectionBegin | call 0x401200 | Category: CALL
Instruction at 0x401354 in routine: FaultInjectionBegin | nop | Category: NOP
Instruction at 0x401355 in routine: FaultInjectionBegin | pop rbp | Category: POP
Instruction at 0x401356 in routine: FaultInjectionBegin | ret  | Category: RET
Instruction at 0x401c55 in routine: test_floating_point_operations | mov eax, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401c58 in routine: test_floating_point_operations | movd xmm0, eax | Category: DATAXFER
Instruction at 0x401c5c in routine: test_floating_point_operations | call 0x4010f0 | Category: CALL
Instruction at 0x401c61 in routine: test_floating_point_operations | cvtss2sd xmm0, xmm0 | Category: CONVERT
Instruction at 0x401c65 in routine: test_floating_point_operations | pxor xmm4, xmm4 | Category: LOGICAL
Instruction at 0x401c69 in routine: test_floating_point_operations | cvtss2sd xmm4, dword ptr [rbp-0x4] | Category: CONVERT
